country,sex,age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Croatia,Female,20,5,0.000148016,2.569334931,0.000739812,99425.22128,73.5560014,496947.3164,0.9992064,6064021.239,60.99077438
Croatia,Female,25,5,0.000176974,2.66278435,0.000884505,99351.66528,87.87700196,496552.9389,0.998911362,5567073.923,56.03402728
Croatia,Female,30,5,0.000267397,2.688574399,0.001336157,99263.78828,132.6320027,496012.3724,0.998159662,5070520.984,51.08127618
Croatia,Female,35,5,0.000493321,2.722597981,0.002463837,99131.15627,244.2430027,495099.5419,0.996764515,4574508.611,46.14602294
Croatia,Female,40,5,0.00083481,2.725816006,0.004166143,98886.91327,411.9770066,493497.6548,0.994439479,4079409.069,41.25327543
Croatia,Female,45,5,0.001460629,2.738406609,0.007279101,98474.93626,716.8090117,490753.5508,0.99006966,3585911.415,36.41445784
Croatia,Female,50,5,0.002619419,2.713223763,0.013019112,97758.12725,1272.724029,485880.2012,0.982895079,3095157.864,31.66138664
Croatia,Female,55,5,0.004446025,2.712150034,0.022006282,96485.40322,2123.285032,477569.2585,0.970866635,2609277.663,27.04323738
Croatia,Female,60,5,0.007608351,2.688400632,0.03738426,94362.11819,3527.657999,463656.059,0.951959872,2131708.404,22.59072226
Croatia,Female,65,5,0.012395221,2.662168632,0.060230742,90834.46019,5471.026942,441381.9626,0.919603396,1668052.345,18.36365121
Croatia,Female,70,5,0.022457146,2.704861641,0.106781949,85363.43325,9115.273789,405896.3517,0.855454753,1226670.383,14.36997478
Croatia,Female,75,5,0.041945996,2.664576452,0.191017579,76248.15946,14564.73885,347225.9632,0.576953034,820774.0309,10.76450942
Croatia,Female,80,5,0.130257992,7.677072105,1,61683.42061,61683.42061,473548.0677,0,473548.0677,7.677072105
Croatia,Male,0,1,0.004223883,0.14,0.004208595,100000,420.8594746,99638.06085,0.99531414,7452880.552,74.52880552
Croatia,Male,1,4,0.000302981,1.532564348,0.001211017,99579.14053,120.5920016,398019.0091,0.998998444,7353242.491,73.84320102
Croatia,Male,5,5,9.54E-05,2.173544659,0.000477043,99458.54852,47.44600066,497158.6386,0.999591094,6955223.482,69.93087658
Croatia,Male,10,5,9.26E-05,2.822783984,0.000462785,99411.10252,46.00600061,496955.3476,0.999279254,6458064.843,64.96321517
Croatia,Male,15,5,0.000227124,2.975746746,0.001135097,99365.09652,112.7890011,496597.1691,0.998289087,5961109.496,59.99198616
Croatia,Male,20,5,0.000413703,2.493793029,0.00206637,99252.30752,205.0920015,495747.5346,0.997885335,5464512.327,55.05677866
Croatia,Male,25,5,0.000451778,2.597774439,0.002256439,99047.21552,223.4940007,494699.1946,0.997382594,4968764.792,50.16561814
Croatia,Male,30,5,0.000616385,2.651502506,0.00307747,98823.72152,304.1270052,493404.3661,0.996067922,4474065.597,45.27319482
Croatia,Male,35,5,0.001006938,2.709091609,0.005023102,98519.59451,494.8740147,491464.2615,0.99325537,3980661.231,40.4047667
Croatia,Male,40,5,0.001789982,2.740749663,0.008913864,98024.7205,873.7790267,488149.5169,0.987366501,3489196.97,35.59507186
Croatia,Male,45,5,0.003501177,2.764614166,0.01736994,97150.94147,1687.506032,481982.4803,0.975904926,3001047.453,30.8905648
Croatia,Male,50,5,0.006486925,2.722866761,0.031962489,95463.43544,3051.249002,470369.0767,0.957127602,2519064.973,26.3877469
Croatia,Male,55,5,0.011406084,2.690832189,0.05556687,92412.18644,5135.055933,450203.2263,0.927645017,2048695.896,22.16910967
Croatia,Male,60,5,0.019101617,2.648744105,0.091402923,87277.13051,7977.384798,417628.7795,0.889019108,1598492.67,18.31513777
Croatia,Male,65,5,0.027914344,2.566704504,0.130694449,79299.74571,10364.03658,371279.965,0.841064244,1180863.89,14.89114347
Croatia,Male,70,5,0.043326161,2.604619076,0.196262193,68935.70913,13529.47348,312270.303,0.758808503,809583.9251,11.7440429
Croatia,Male,75,5,0.068810179,2.541962534,0.294277405,55406.23565,16304.80323,236953.361,0.523533339,497313.6221,8.975769899
Croatia,Male,80,5,0.150182029,6.658586273,1,39101.43241,39101.43241,260360.2611,0,260360.2611,6.658586273
Czech Republic,Female,0,1,0.001929999,0.14,0.001926801,100000,192.6801204,99834.2951,0.99787968,8147238.338,81.47238338
Czech Republic,Female,1,4,0.000145002,1.861891103,0.000579827,99807.31988,57.87100141,399105.545,0.99943809,8047404.043,80.62939725
Czech Republic,Female,5,5,8.40E-05,2.904655607,0.000419902,99749.44888,41.88500137,498659.4809,0.999517124,7648298.498,76.67509529
Czech Republic,Female,10,5,0.000109996,2.827064786,0.000549848,99707.56388,54.824002,498418.6904,0.999262301,7149639.017,71.70608467
Czech Republic,Female,15,5,0.000189989,2.752240455,0.000949537,99652.73987,94.62400393,498051.0074,0.998869679,6651220.327,66.74397849
Czech Republic,Female,20,5,0.000244,2.507727351,0.001219258,99558.11587,121.3870056,497488.0498,0.998817702,6153169.32,61.80479879
Czech Republic,Female,25,5,0.000249988,2.715538686,0.001249227,99436.72887,124.2190052,496899.8708,0.998647938,5655681.27,56.87718547
Czech Republic,Female,30,5,0.000307971,2.811089877,0.001538819,99312.50986,152.8240055,496228.0313,0.997806666,5158781.399,51.94493026
Czech Republic,Female,35,5,0.000567949,2.657328581,0.002835971,99159.68585,281.2140098,495139.6372,0.996302381,4662553.368,47.02065489
Czech Republic,Female,40,5,0.000913916,2.59659239,0.004559567,98878.47184,450.8430171,493308.7997,0.994122206,4167413.73,42.14682582
Czech Republic,Female,45,5,0.001587291,2.778952795,0.007908572,98427.62883,778.4220277,490409.2321,0.989666445,3674104.931,37.32798376
Czech Republic,Female,50,5,0.002618492,2.714566793,0.013014576,97649.2068,1270.863038,485341.5614,0.983314952,3183695.699,32.60339539
Czech Republic,Female,55,5,0.004196693,2.679249018,0.02078107,96378.34376,2002.845064,477243.6142,0.973045554,2698354.137,27.99751512
Czech Republic,Female,60,5,0.007033181,2.704359246,0.03460715,94375.4987,3266.067082,464379.7768,0.954835611,2221110.523,23.53482158
Czech Republic,Female,65,5,0.01176091,2.671882781,0.057237347,91109.43162,5214.862136,443406.3477,0.925716209,1756730.746,19.28154654
Czech Republic,Female,70,5,0.019430868,2.617229108,0.092855208,85894.56948,7975.758136,410468.4431,0.879584328,1313324.398,15.28995845
Czech Republic,Female,75,5,0.034432068,2.703201102,0.159543106,77918.81134,12431.4092,361041.6098,0.600111615,902855.9554,11.58713717
Czech Republic,Female,80,5,0.120866866,8.273566028,1,65487.40215,65487.40215,541814.3457,0,541814.3457,8.273566028
Czech Republic,Male,0,1,0.002959996,0.14,0.002952481,100000,295.2480509,99746.08668,0.996865034,7563662.369,75.63662369
Czech Republic,Male,1,4,0.000135006,1.536878776,0.000539844,99704.75195,53.82500202,398686.4303,0.999428219,7463916.282,74.86018606
Czech Republic,Male,5,5,8.60E-05,2.499836606,0.000429921,99650.92695,42.8420016,498147.5227,0.999547103,7065229.852,70.89979058
Czech Republic,Male,10,5,0.000111995,2.874804988,0.000559844,99608.08495,55.76500186,497921.9132,0.99908658,6567082.329,65.92920979
Czech Republic,Male,15,5,0.000359889,3.355060242,0.001798381,99552.31994,179.033006,497467.1012,0.997027806,6069160.416,60.9645302
Czech Republic,Male,20,5,0.000698016,2.464235375,0.003483914,99373.28694,346.2080101,495988.5327,0.996236212,5571693.315,56.06832064
Czech Republic,Male,25,5,0.000792054,2.409983113,0.003952162,99027.07893,391.3710142,494121.7371,0.99601318,5075704.782,51.25572558
Czech Republic,Male,30,5,0.000873913,2.612690594,0.00436047,98635.70791,430.098017,492151.7625,0.994622322,4581583.045,46.44953782
Czech Republic,Male,35,5,0.001243997,2.499075446,0.006200695,98205.6099,608.9430235,489505.1289,0.992559194,4089431.283,41.64152422
Czech Republic,Male,40,5,0.001897268,2.699619881,0.009445118,97596.66687,921.812035,485862.8163,0.987402523,3599926.154,36.88574896
Czech Republic,Male,45,5,0.003311581,2.713796148,0.016433488,96674.85484,1588.705052,479742.1706,0.978684593,3114063.337,32.21171982
Czech Republic,Male,50,5,0.005454009,2.690330083,0.0269308,95086.14979,2560.746086,469516.2707,0.964860228,2634321.167,27.70457288
Czech Republic,Male,55,5,0.009131681,2.677089994,0.044710014,92525.4037,4136.812113,453017.5762,0.940294777,2164804.896,23.39687058
